pmid|pubyear|lang|title|match_found|best_full_match|best_window_match
﻿26613691|2016|eng;|Integrating Children's Mental Health into Primary Care.|N||
26610738|2015|ENG;|The emergence and stability of attention deficit hyperactivity disorder in boys with fragile X syndrome.|Y|attention-deficit/hyperactivity disorder|attention-deficit/hyperactivity disorder
26590512|2015|ENG;|Associations of age with reward delay discounting and response inhibition in adolescents with bipolar disorders.|Y|bipolar disorders|bipolar disorders
26580570|2015|ENG;|Cortical inhibitory and excitatory correlates of depression severity in children and adolescents.|Y|depression|depression
26544619|2015|ENG;|The relationship between anxiety disorders and dimensional representations of DSM-IV personality disorders: A co-twin control study.|N||
26520240|2015|ENG;|Enhancement of Psychosocial Treatment With d-Cycloserine: Models, Moderators, and Future Directions.|N||
26519010|2015|ENG;|Global absenteeism and presenteeism in mental health patients referred through primary care.|N||
26500715|2015|ENG;|Teaching reading to youth with fragile X syndrome: Should phonemic awareness and phonics instruction be used?|N||
26467211|2015|ENG;|Sleep-Related Problems and the Effects of Anxiety Treatment in Children and Adolescents.|N||
26452644|2015|eng;|Technology-Delivered Mental Health Interventions for People Living with HIV/AIDS (PLWHA): a Review of Recent Advances.|N||
26444466|2015|eng;|Mental Health Treatment Among Soldiers With Current Mental Disorders in the Army Study to Assess Risk and Resilience in Service Members (Army STARRS).|N||
26435843|2015|ENG;|Improving mental health among people living with HIV: a review of intervention trials in low- and middle-income countries.|Y|low income|low income
26405221|2015|ENG;|Exome Sequence Data From Multigenerational Families Implicate AMPA Receptor Trafficking in Neurocognitive Impairment and Schizophrenia Risk.|Y|schizophrenia|schizophrenia
26394333|2015|eng;|Convergence of EEG and fMRI measures of reward anticipation.|N||
26392814|2015|ENG;|Review: Comprehensive treatments for youth comorbidity - evidence-guided approaches to a complicated problem.|N||
26390830|2015|ENG;|Genome-wide autozygosity is associated with lower general cognitive ability.|N||
26385796|2015|eng;|Replication and Comparison of the Newly Proposed ADOS-2, Module 4 Algorithm in ASD Without ID: A Multi-site Study.|N||
26372770|2015|eng;|Prenatal stress, development, health and disease risk: A psychobiological perspective-2015 Curt Richter Award Paper.|N||
26343956|2015|eng;|Demystifying cognitive flexibility: Implications for clinical and developmental neuroscience.|N||
26338333|2015|eng;|Medial-Frontal Stimulation Enhances Learning in Schizophrenia by Restoring Prediction Error Signaling.|Y|schizophrenia|schizophrenia
26337405|2015|ENG;|Does childhood bullying predict eating disorder symptoms? A prospective, longitudinal analysis.|Y|eating disorder|eating disorder
26334714|2015|eng;|Development of a Clinical Forecasting Model to Predict Comorbid Depression Among Diabetes Patients and an Application in Depression Screening Policy Making.|Y|depression|depression
26332665|2015|eng;|Contextual startle responses moderate the relation between behavioral inhibition and anxiety in middle childhood.|N||
26322388|2015|eng;|Family Quality of Life During the Transition to Adulthood for Individuals With Intellectual Disability and/or Autism Spectrum Disorders.|Y|intellectual disability|intellectual disability
26321858|2015|ENG;|Multiple Family Groups for Children with Disruptive Behavior Disorders: Child Outcomes at 6-Month Follow-Up.|N||
26303856|2015|eng;|Maternal psychiatric disease and epigenetic evidence suggest a common biology for poor fetal growth.|N||
26302252|2015|eng;|Redesigning community mental health services for urban children: Supporting schooling to promote mental health.|N||
26289573|2015|eng;|Auditory dysfunction in schizophrenia: integrating clinical and basic features.|Y|schizophrenia|schizophrenia
26275322|2015|eng;|Ethics in global health research: the need for balance.|N||
26273730|2015|eng;|A longitudinal, population-based twin study of avoidant and obsessive-compulsive personality disorder traits from early to middle adulthood.|Y|obsessive-compulsive personality disorder|obsessive-compulsive personality disorder
26272875|2015|eng;|Specificity of Incident Diagnostic Outcomes in Patients at Clinical High Risk for Psychosis.|Y|psychosis|psychosis
26267151|2015|eng;|Association of Thalamic Dysconnectivity and Conversion to Psychosis in Youth and Young Adults at Elevated Clinical Risk.|Y|psychosis|psychosis
26265321|2015|eng;|The Prodrug 4-Chlorokynurenine Causes Ketamine-Like Antidepressant Effects, but Not Side Effects, by NMDA/GlycineB-Site Inhibition.|N||
